verb,particle,svalex_first_level,svalex_total_freq,swellex_first_level
lägga,för,b2,0.7206,
lägga,in,a2,27.0981,
lägga,ned,b2,2.9805,
lägga,ner,b1,34.5513,b2
lägga,om,b1,19.1037,
lägga,till,b2,5.9043,
lägga,upp,a2,11.2476,c1
lägga,ut,b1,5.0622,
lämna,bort,,,c1
lämna,fram,b2,2.1617,
lämna,igen,b2,0.7206,
lämna,in,a2,19.7327,c1
lämna,kvar,b2,0.7206,
lämna,tillbaka,a2,32.2355,c1
lära,in,b1,13.7282,
lära,om,a2,0.1387,b1
lära,upp,c1,0.8196,
lära,ut,c1,1.6391,
läsa,in,a2,2.3003,
läsa,på,b1,3.4965,
läsa,upp,c1,0.2276,
låna,ut,a2,38.7431,
låsa,in,b2,2.5006,
muntra,upp,b2,0.1456,
måla,upp,c1,0.8196,
möta,upp,b2,0.1456,
nöta,ut,,,b1
packa,in,a1,2.9887,
packa,ner,a2,0.4277,
packa,upp,a2,0.1536,
passa,ihop,b1,8.3436,c1
passa,in,b1,5.0979,b2
passa,upp,b2,0.2925,
peka,ut,b1,11.4475,b2
piffa,upp,c1,1.6391,
piggna,till,b2,0.5664,
piska,upp,b2,0.7206,
platta,till,b1,0.2515,
plocka,fram,b2,1.4411,
plocka,ihop,b1,3.3409,
plocka,undan,b1,2.4327,
plocka,upp,a2,2.3163,
plugga,in,c1,0.2276,
rabbla,upp,b2,0.2832,
ramla,ner,a2,0.1536,
rasa,ihop,,,c1
rasa,ner,b1,0.1426,
rationalisera,bort,b2,0.2925,
reda,ut,b2,11.3152,c1
resa,bort,b2,4.641,
reta,upp,b2,6.6603,c1
rida,in,c1,0.8196,
ringa,upp,b1,4.3514,
rinna,bort,b2,0.2832,
rinna,iväg,b1,0.2515,
rinna,ut,,,b2
riva,sönder,b1,4.7395,
ropa,till,c1,0.8196,
ropa,upp,b2,7.877,a2
rulla,av,b1,0.218,
rulla,upp,b2,0.7206,
rulla,ut,b1,0.218,
rusa,ut,b1,2.6776,
rycka,in,a2,3.249,
rycka,ut,c1,0.8196,
räcka,till,c1,0.2276,c1
räkna,bort,b1,2.3202,
räkna,upp,c1,0.8196,
räkna,ut,b1,11.2459,
rösta,fram,b1,0.3669,
röva,bort,b2,0.7206,
samla,ihop,b1,2.704,c1
se,efter,b2,0.5664,
se,fram,b2,7.1243,
se,ner,b2,2.0267,
se,om,a2,33.5296,b1
se,till,,,b2
se,upp,b2,0.2925,
se,ut,a1,449.084,a2
segla,om,c1,0.8196,
segla,ut,b2,0.7206,
sitta,fast,b2,5.8131,
sitta,ner,b2,2.5406,
skaffa,fram,c1,0.8196,
skaka,av,c1,0.8196,
skaka,om,b2,0.1456,
skicka,in,b1,2.481,
skicka,ut,b2,5.128,
skjuta,av,b2,0.7206,
skjuta,in,b2,2.8823,
skjuta,upp,b1,4.5122,
skjuta,ut,b2,1.4411,
skrapa,bort,b2,0.2925,
skriva,ned,b1,10.9984,
skriva,ner,a2,17.9339,
skriva,upp,,,c1
skriva,ut,a2,18.3197,
skruva,ner,,,c1
skruva,upp,b1,0.123,
skrämma,bort,b2,2.5233,
skrämma,upp,b2,0.7206,
skräpa,ner,b2,0.7206,
skynda,på,b1,2.704,
skära,ner,b1,0.3669,
skära,ut,b2,0.7206,
sköta,om,b2,0.2925,
slappna,av,b1,2.4066,b2
slita,ut,c1,0.8196,
slumra,till,b2,0.7206,
slänga,bort,,,b1
släpa,fram,b2,1.4411,
släppa,in,b1,2.1135,
släppa,ut,b1,15.3834,b1
slå,fast,c1,0.8196,c1
slå,ihjäl,b2,3.1529,
slå,ihop,b2,0.7206,
slå,in,b2,3.1529,
slå,ned,b2,0.2832,c1
slå,ner,b2,2.1991,
slå,samman,c1,0.8196,
slå,sönder,b2,3.1529,
slå,upp,a2,32.3561,b2
slå,ut,a2,35.46,b1
slösa,bort,b1,3.4486,c1
smula,sönder,c1,0.8196,
smutsa,ned,b2,0.2832,
smälla,igen,b1,0.3669,
smälta,ihop,,,c1
smörja,in,b1,0.3669,
sova,ut,b2,0.2832,
sova,över,a2,0.1387,c1
spara,ihop,b1,4.7538,
spara,in,b1,0.2515,
sparka,upp,b2,0.7206,
sparka,ut,c1,0.2276,
spela,in,b1,35.8857,c1
spela,upp,b2,6.4012,
sprida,ut,,,c1
springa,fram,a2,1.8759,
springa,in,b2,0.7206,
springa,ut,a2,2.0832,
spänna,fast,a2,0.2139,
spåra,upp,b2,0.7206,
stamma,fram,c1,0.8196,
stanna,kvar,,,b2
sticka,av,c1,0.2276,
sticka,ner,b1,0.3669,
sticka,upp,c1,1.6391,
sticka,ut,b2,0.2925,
stiga,av,b1,0.1426,b2
stiga,ner,c1,0.8196,
stiga,upp,a1,51.3555,
stoppa,in,a2,2.3102,
stoppa,ner,b1,4.9047,
stoppa,upp,b1,2.1135,
stryka,över,b2,1.4411,
sträcka,upp,c1,0.8196,c1
sträcka,ut,b2,0.5664,
strömma,in,b1,2.4297,
stuva,in,b2,0.2832,
städa,undan,a2,0.2139,
ställa,in,a2,19.8777,
ställa,om,c1,0.8196,
ställa,till,b2,2.5006,
ställa,upp,a2,33.8217,b2
ställa,ut,b1,3.4682,c1
stå,emot,b1,0.246,c1
stå,på,b1,0.218,a2
stå,till,a1,1.2045,
stå,upp,b1,2.1907,
stå,ut,b1,9.1687,
störta,in,b2,0.7206,
störta,ner,b2,0.7206,
stöta,ihop,c1,0.8196,
sudda,ut,c1,0.8196,c1
suga,upp,c1,1.6391,
svetsa,samman,b2,0.1456,
säga,till,b1,13.2897,a2
säga,upp,b1,2.2004,
sätta,av,b2,1.4411,
sätta,fast,b1,5.1633,
sätta,igen,b1,0.1426,
sätta,igång,b1,23.5,
sätta,ihop,b1,7.9884,
sätta,in,a2,31.5372,c1
sätta,på,a2,0.1387,
sätta,samman,b1,5.4455,
sätta,upp,a1,40.7795,c1
sätta,ut,a2,26.9514,b2
söka,upp,b2,3.1529,b2
ta,av,a2,3.4092,
ta,bort,a2,23.8738,b1
ta,efter,c1,1.6391,
ta,emot,a2,50.0412,b2
ta,fast,b2,2.42,
ta,fram,a2,51.0406,b1
ta,hem,a1,27.3725,a2
ta,in,b1,36.5052,b1
ta,isär,,,b2
ta,itu,b1,2.8231,c1
ta,med,a1,36.4605,b1
ta,miste,c1,0.8196,
ta,ner,b1,7.9426,b2
ta,om,b1,22.1478,b1
ta,slut,b1,49.6464,b2
ta,till,b2,4.4251,
ta,tillbaka,b1,0.2515,
ta,tillvara,,,c1
ta,upp,a2,168.5931,b1
ta,ut,a1,65.8374,b1
ta,över,,,c1
tala,om,a1,81.0965,b2
tappa,bort,,,b2
titta,in,a2,5.0734,
titta,på,a2,0.1387,
tona,ned,b2,0.7206,
torka,bort,b2,0.2925,
trycka,ned,c1,0.8196,
trycka,ner,b2,3.9013,
trycka,på,b2,0.2832,c1
träda,tillbaka,c1,0.8196,
träna,upp,b1,3.4091,
tråka,ut,a2,9.0727,
trötta,ut,b2,0.2925,
tufsa,till,b2,0.7206,
turas,om,c1,0.8196,
tvätta,bort,b1,0.3669,
tycka,om,a2,85.1283,a1
tyna,bort,c1,0.2276,
tänka,efter,b1,31.7869,c1
tänka,om,a2,64.5074,a2
tänka,ut,c1,0.8196,
vakna,upp,c1,0.8196,c1
vara,av,b1,0.3669,b2
vara,ihop,a2,1.7774,
vara,med,a1,112.9686,b1
vara,på,a2,2.2054,
vara,till,a2,4.7754,b1
varva,ned,b2,0.2832,c1
varva,ner,b1,0.123,c1
veta,om,a2,65.2709,b1
vika,ihop,b1,2.1488,
vila,ut,b2,2.42,b2
visa,in,c1,0.8196,
visa,upp,b1,15.6256,
väga,upp,b1,0.3669,
välja,om,b2,0.7206,b2
