line,cefr,infinitive,grupp,status,reasons
956,"B2","utlösa",2b,fail,"empty imperativ on non-modal verb"
957,"B2","utnämna",2a,fail,"empty imperativ on non-modal verb"
958,"B2","pricka",1,fail,"empty imperativ on non-modal verb"
959,"B2","befara",1,fail,"empty imperativ on non-modal verb"
960,"B2","beundra",1,fail,"empty imperativ on non-modal verb"
961,"B2","bistå",,fail,"empty imperativ on non-modal verb"
962,"B2","sno",3,fail,"empty imperativ on non-modal verb"
963,"B2","omsätta",,fail,"empty imperativ on non-modal verb"
964,"B2","sy",3,fail,"empty imperativ on non-modal verb"
965,"B2","invända",,fail,"empty imperativ on non-modal verb"
966,"B2","underhålla",,fail,"empty imperativ on non-modal verb"
967,"B2","fiska",1,fail,"empty imperativ on non-modal verb"
968,"B2","tillträda",,fail,"empty imperativ on non-modal verb"
969,"B2","utvisa",1,fail,"empty imperativ on non-modal verb"
970,"B2","skälla",2a,fail,"empty imperativ on non-modal verb"
971,"B2","symbolisera",1,fail,"empty imperativ on non-modal verb"
972,"B2","klämma",,fail,"empty imperativ on non-modal verb"
973,"B2","samverka",1,fail,"empty imperativ on non-modal verb"
974,"B2","överskrida",,fail,"empty imperativ on non-modal verb"
975,"B2","aktivera",1,fail,"empty imperativ on non-modal verb"
976,"B2","montera",1,fail,"empty imperativ on non-modal verb"
977,"B2","utbryta",,fail,"empty imperativ on non-modal verb"
978,"B2","genomsyra",1,fail,"empty imperativ on non-modal verb"
979,"B2","tjänstgöra",,fail,"empty imperativ on non-modal verb"
980,"B2","fastslå",,fail,"empty imperativ on non-modal verb"
981,"B2","återuppta",,fail,"empty imperativ on non-modal verb"
982,"B2","fördriva",,fail,"empty imperativ on non-modal verb"
983,"B2","släcka",2b,fail,"empty imperativ on non-modal verb"
984,"B2","inbegripa",,fail,"empty imperativ on non-modal verb"
985,"B2","uppehålla",,fail,"empty imperativ on non-modal verb"
986,"B2","nicka",1,fail,"empty imperativ on non-modal verb"
987,"B2","inge",,fail,"empty imperativ on non-modal verb"
988,"B2","sammanfalla",,fail,"empty imperativ on non-modal verb"
989,"B2","hälla",2a,fail,"empty imperativ on non-modal verb"
990,"B2","käka",1,fail,"empty imperativ on non-modal verb"
991,"B2","svälta",,fail,"charset: preteritum=""svalt/svälte""; charset: supinum=""svultit/svält"""
992,"B2","välta",1,fail,"empty imperativ on non-modal verb"
993,"B2","fängsla",1,fail,"empty imperativ on non-modal verb"
994,"B2","gratulera",1,fail,"empty imperativ on non-modal verb"
995,"B2","vädja",1,fail,"empty imperativ on non-modal verb"
996,"B2","lasta",1,fail,"empty imperativ on non-modal verb"
997,"B2","smitta",1,fail,"empty imperativ on non-modal verb"
998,"B2","påtala",1,fail,"empty imperativ on non-modal verb"
999,"B2","klistra",1,fail,"empty imperativ on non-modal verb"
1000,"B2","beskatta",1,fail,"empty imperativ on non-modal verb"
1001,"B2","vakta",1,fail,"empty imperativ on non-modal verb"
1002,"B2","förtrycka",2b,fail,"empty imperativ on non-modal verb"
1003,"B2","avta",,fail,"empty imperativ on non-modal verb"
1004,"B2","bläddra",1,fail,"empty imperativ on non-modal verb"
1005,"B2","väva",2a,fail,"empty imperativ on non-modal verb"
1006,"B2","spricka",,fail,"empty imperativ on non-modal verb"
1007,"B2","övertala",1,fail,"empty imperativ on non-modal verb"
1008,"B2","härja",1,fail,"empty imperativ on non-modal verb"
1009,"B2","annonsera",1,fail,"empty imperativ on non-modal verb"
1010,"B2","bekymra",1,fail,"empty imperativ on non-modal verb"
1011,"B2","distribuera",1,fail,"empty imperativ on non-modal verb"
1012,"B2","bestrida",,fail,"empty imperativ on non-modal verb"
1013,"B2","vifta",1,fail,"empty imperativ on non-modal verb"
1014,"B2","hacka",1,fail,"empty imperativ on non-modal verb"
1015,"B2","smälla",2a,fail,"empty imperativ on non-modal verb"
1016,"B2","hänföra",,fail,"empty imperativ on non-modal verb"
1017,"B2","recensera",1,fail,"empty imperativ on non-modal verb"
1018,"B2","diskriminera",1,fail,"empty imperativ on non-modal verb"
1019,"B2","reformera",1,fail,"empty imperativ on non-modal verb"
1020,"B2","fördubbla",1,fail,"empty imperativ on non-modal verb"
1021,"B2","redigera",1,fail,"empty imperativ on non-modal verb"
1022,"B2","baka",1,fail,"empty imperativ on non-modal verb"
1023,"B2","kompromissa",1,fail,"empty imperativ on non-modal verb"
1024,"B2","svälja",,fail,"empty imperativ on non-modal verb"
1025,"B2","tillstyrka",2b,fail,"empty imperativ on non-modal verb"
1026,"B2","skörda",1,fail,"empty imperativ on non-modal verb"
1027,"B2","såga",1,fail,"empty imperativ on non-modal verb"
1028,"B2","haka",1,fail,"empty imperativ on non-modal verb"
1029,"B2","knacka",1,fail,"empty imperativ on non-modal verb"
1030,"B2","utkomma",,fail,"empty imperativ on non-modal verb"
1031,"B2","skryta",,fail,"empty imperativ on non-modal verb"
1032,"B2","ankomma",,fail,"empty imperativ on non-modal verb"
1033,"B2","avsky",3,fail,"empty imperativ on non-modal verb"
1034,"B2","förmoda",1,fail,"empty imperativ on non-modal verb"
1035,"B2","pumpa",1,fail,"empty imperativ on non-modal verb"
1036,"B2","slopa",1,fail,"empty imperativ on non-modal verb"
1037,"B2","avvakta",1,fail,"empty imperativ on non-modal verb"
1038,"B2","praktisera",1,fail,"empty imperativ on non-modal verb"
1039,"B2","rusta",1,fail,"empty imperativ on non-modal verb"
1040,"B2","trilla",1,fail,"empty imperativ on non-modal verb"
1041,"B2","handlägga",,fail,"empty imperativ on non-modal verb"
1042,"B2","missförstå",,fail,"empty imperativ on non-modal verb"
1043,"B2","korrigera",1,fail,"empty imperativ on non-modal verb"
1044,"B2","försätta",,fail,"empty imperativ on non-modal verb"
1045,"B2","återhämta",1,fail,"empty imperativ on non-modal verb"
1046,"B2","donera",1,fail,"empty imperativ on non-modal verb"
1047,"B2","överraska",1,fail,"empty imperativ on non-modal verb"
1048,"B2","relatera",1,fail,"empty imperativ on non-modal verb"
1049,"B2","administrera",1,fail,"empty imperativ on non-modal verb"
1050,"B2","konvertera",1,fail,"empty imperativ on non-modal verb"
1051,"B2","krympa",2b,fail,"empty imperativ on non-modal verb"
1052,"B2","underskatta",1,fail,"empty imperativ on non-modal verb"
1053,"B2","skifta",1,fail,"empty imperativ on non-modal verb"
1054,"B2","halka",1,fail,"empty imperativ on non-modal verb"
1055,"B2","konfrontera",1,fail,"empty imperativ on non-modal verb"
1056,"B2","kandidera",1,fail,"empty imperativ on non-modal verb"
1057,"B2","plantera",1,fail,"empty imperativ on non-modal verb"
1058,"B2","aktualisera",1,fail,"empty imperativ on non-modal verb"
1059,"B2","undanröja",2a,fail,"empty imperativ on non-modal verb"
1060,"B2","isolera",1,fail,"empty imperativ on non-modal verb"
1061,"B2","shoppa",1,fail,"empty imperativ on non-modal verb"
1062,"B2","hedra",1,fail,"empty imperativ on non-modal verb"
1063,"B2","tjata",1,fail,"empty imperativ on non-modal verb"
1064,"B2","återfå",,fail,"empty imperativ on non-modal verb"
1065,"B2","spänna",,fail,"empty imperativ on non-modal verb"
1066,"B2","marschera",1,fail,"empty imperativ on non-modal verb"
1067,"B2","överdriva",,fail,"empty imperativ on non-modal verb"
1068,"B2","propagera",1,fail,"empty imperativ on non-modal verb"
1069,"B2","renovera",1,fail,"empty imperativ on non-modal verb"
1070,"B2","beröva",1,fail,"empty imperativ on non-modal verb"
1071,"B2","slösa",1,fail,"empty imperativ on non-modal verb"
1072,"B2","skämta",1,fail,"empty imperativ on non-modal verb"
1073,"B2","underrätta",1,fail,"empty imperativ on non-modal verb"
1074,"B2","dyrka",1,fail,"empty imperativ on non-modal verb"
1075,"C1","omvända",,fail,"empty imperativ on non-modal verb"
1076,"C1","understödja",,fail,"empty imperativ on non-modal verb"
1077,"C1","anamma",1,fail,"empty imperativ on non-modal verb"
1078,"C1","arrestera",1,fail,"empty imperativ on non-modal verb"
1079,"C1","införliva",1,fail,"empty imperativ on non-modal verb"
1080,"C1","återkalla",1,fail,"empty imperativ on non-modal verb"
1081,"C1","överträffa",1,fail,"empty imperativ on non-modal verb"
1082,"C1","knäcka",2b,fail,"empty imperativ on non-modal verb"
1083,"C1","befästa",,fail,"empty imperativ on non-modal verb"
1084,"C1","undanta",,fail,"empty imperativ on non-modal verb"
1085,"C1","tysta",1,fail,"empty imperativ on non-modal verb"
1086,"C1","stämpla",1,fail,"empty imperativ on non-modal verb"
1087,"C1","påskynda",1,fail,"empty imperativ on non-modal verb"
1088,"C1","trösta",1,fail,"empty imperativ on non-modal verb"
1089,"C1","brottas",deponens,fail,"empty imperativ on non-modal verb"
1090,"C1","stabilisera",1,fail,"empty imperativ on non-modal verb"
1091,"C1","hämma",1,fail,"empty imperativ on non-modal verb"
1092,"C1","nominera",1,fail,"empty imperativ on non-modal verb"
1093,"C1","viska",1,fail,"empty imperativ on non-modal verb"
1094,"C1","förfoga",1,fail,"empty imperativ on non-modal verb"
1095,"C1","heja",1,fail,"empty imperativ on non-modal verb"
1096,"C1","flöda",1,fail,"empty imperativ on non-modal verb"
1097,"C1","utebli",,fail,"empty imperativ on non-modal verb"
1098,"C1","spotta",1,fail,"empty imperativ on non-modal verb"
1099,"C1","attrahera",1,fail,"empty imperativ on non-modal verb"
1100,"C1","censurera",1,fail,"empty imperativ on non-modal verb"
1101,"C1","lindra",1,fail,"empty imperativ on non-modal verb"
1102,"C1","omnämna",2a,fail,"empty imperativ on non-modal verb"
1103,"C1","avspegla",1,fail,"empty imperativ on non-modal verb"
1104,"C1","tydliggöra",,fail,"empty imperativ on non-modal verb"
1105,"C1","fortgå",,fail,"empty imperativ on non-modal verb"
1106,"C1","applicera",1,fail,"empty imperativ on non-modal verb"
1107,"C1","jämställa",2a,fail,"empty imperativ on non-modal verb"
1108,"C1","välsigna",1,fail,"empty imperativ on non-modal verb"
1109,"C1","blomma",1,fail,"empty imperativ on non-modal verb"
1110,"C1","sopa",1,fail,"empty imperativ on non-modal verb"
1111,"C1","prenumerera",1,fail,"empty imperativ on non-modal verb"
1112,"C1","förfalla",,fail,"empty imperativ on non-modal verb"
1113,"C1","skrapa",1,fail,"empty imperativ on non-modal verb"
1114,"C1","uppgradera",1,fail,"empty imperativ on non-modal verb"
1115,"C1","anteckna",1,fail,"empty imperativ on non-modal verb"
1116,"C1","legitimera",1,fail,"empty imperativ on non-modal verb"
1117,"C1","kretsa",1,fail,"empty imperativ on non-modal verb"
1118,"C1","intensifiera",1,fail,"empty imperativ on non-modal verb"
1119,"C1","jubla",1,fail,"empty imperativ on non-modal verb"
1120,"C1","effektivisera",1,fail,"empty imperativ on non-modal verb"
1121,"C1","beskåda",1,fail,"empty imperativ on non-modal verb"
1122,"C1","härröra",,fail,"empty imperativ on non-modal verb"
1123,"C1","peta",1,fail,"empty imperativ on non-modal verb"
1124,"C1","tanka",1,fail,"empty imperativ on non-modal verb"
1125,"C1","klappa",1,fail,"empty imperativ on non-modal verb"
1126,"C1","varva",1,fail,"empty imperativ on non-modal verb"
1127,"C1","fostra",1,fail,"empty imperativ on non-modal verb"
1128,"C1","förakta",1,fail,"empty imperativ on non-modal verb"
1129,"C1","utbrista",,fail,"empty imperativ on non-modal verb"
1130,"C1","underlåta",,fail,"empty imperativ on non-modal verb"
1131,"C1","pyssla",1,fail,"empty imperativ on non-modal verb"
1132,"C1","urholka",1,fail,"empty imperativ on non-modal verb"
1133,"C1","skina",,fail,"empty imperativ on non-modal verb"
1134,"C1","envisas",deponens,fail,"empty imperativ on non-modal verb"
1135,"C1","trygga",1,fail,"empty imperativ on non-modal verb"
1136,"C1","såra",1,fail,"empty imperativ on non-modal verb"
1137,"C1","associera",1,fail,"empty imperativ on non-modal verb"
1138,"C1","sucka",1,fail,"empty imperativ on non-modal verb"
1139,"C1","tillgå",,fail,"empty imperativ on non-modal verb"
1140,"C1","avlyssna",1,fail,"empty imperativ on non-modal verb"
1141,"C1","signalera",1,fail,"empty imperativ on non-modal verb"
1142,"A2","närma",1,fail,"empty imperativ on non-modal verb"
1143,"A2","förhålla",,fail,"empty imperativ on non-modal verb"
1144,"B1","motsätta",,fail,"empty imperativ on non-modal verb"
1145,"B2","bosätta",,fail,"empty imperativ on non-modal verb"
1146,"B2","åta",,fail,"empty imperativ on non-modal verb"
1147,"B2","revidera",1,fail,"empty imperativ on non-modal verb"
1148,"B2","återupprätta",1,fail,"empty imperativ on non-modal verb"
1149,"B2","prisa",1,fail,"empty imperativ on non-modal verb"
1150,"B2","färga",1,fail,"empty imperativ on non-modal verb"
1151,"B2","matcha",1,fail,"empty imperativ on non-modal verb"
1152,"B2","adoptera",1,fail,"empty imperativ on non-modal verb"
1153,"B2","verifiera",1,fail,"empty imperativ on non-modal verb"
1154,"B2","tillfredsställa",2a,fail,"empty imperativ on non-modal verb"
1155,"B2","uppfostra",1,fail,"empty imperativ on non-modal verb"
1156,"B2","förbruka",1,fail,"empty imperativ on non-modal verb"
1157,"B2","beskylla",2a,fail,"empty imperativ on non-modal verb"
1158,"B2","reparera",1,fail,"empty imperativ on non-modal verb"
1159,"C1","involvera",1,fail,"empty imperativ on non-modal verb"
1160,"C1","härleda",,fail,"empty imperativ on non-modal verb"
1161,"C1","utbyta",2b,fail,"empty imperativ on non-modal verb"
1162,"C1","sponsra",1,fail,"empty imperativ on non-modal verb"
1163,"C1","slakta",1,fail,"empty imperativ on non-modal verb"
1164,"C1","uppröra",,fail,"empty imperativ on non-modal verb"
1165,"C1","summera",1,fail,"empty imperativ on non-modal verb"
1166,"C1","underminera",1,fail,"empty imperativ on non-modal verb"
1167,"C1","fullborda",1,fail,"empty imperativ on non-modal verb"
1168,"C1","berömma",,fail,"empty imperativ on non-modal verb"
1169,"C1","bestraffa",1,fail,"empty imperativ on non-modal verb"
1170,"C1","närvara",1,fail,"empty imperativ on non-modal verb"
1171,"C1","sola",1,fail,"empty imperativ on non-modal verb"
1172,"C1","berika",1,fail,"empty imperativ on non-modal verb"
1173,"C1","underkasta",1,fail,"empty imperativ on non-modal verb"
1174,"C1","duscha",1,fail,"empty imperativ on non-modal verb"
1175,"C1","tolerera",1,fail,"empty imperativ on non-modal verb"
1176,"C1","urskilja",,fail,"empty imperativ on non-modal verb"
1177,"C1","förordna",1,fail,"empty imperativ on non-modal verb"
1178,"C1","droppa",1,fail,"empty imperativ on non-modal verb"
1179,"C1","tugga",1,fail,"empty imperativ on non-modal verb"
1180,"C1","reservera",1,fail,"empty imperativ on non-modal verb"
1181,"C1","snöa",1,fail,"empty imperativ on non-modal verb"
1182,"C1","implementera",1,fail,"empty imperativ on non-modal verb"
1183,"C1","uppbära",,fail,"empty imperativ on non-modal verb"
1184,"C1","separera",1,fail,"empty imperativ on non-modal verb"
1185,"C1","kidnappa",1,fail,"empty imperativ on non-modal verb"
1186,"C1","framlägga",,fail,"empty imperativ on non-modal verb"
1187,"C1","förorsaka",1,fail,"empty imperativ on non-modal verb"
1188,"C1","tortera",1,fail,"empty imperativ on non-modal verb"
1189,"C1","befalla",1,fail,"empty imperativ on non-modal verb"
1190,"C1","vålla",1,fail,"empty imperativ on non-modal verb"
1191,"C1","förutsäga",,fail,"empty imperativ on non-modal verb"
1192,"C1","begrunda",1,fail,"empty imperativ on non-modal verb"
1193,"C1","manifestera",1,fail,"empty imperativ on non-modal verb"
1194,"C1","bekanta",1,fail,"empty imperativ on non-modal verb"
1195,"C1","angå",,fail,"empty imperativ on non-modal verb"
1196,"C1","äventyra",1,fail,"empty imperativ on non-modal verb"
1197,"C1","sväva",1,fail,"empty imperativ on non-modal verb"
1198,"C1","insistera",1,fail,"empty imperativ on non-modal verb"
1199,"C1","exploatera",1,fail,"empty imperativ on non-modal verb"
1200,"C1","förväxla",1,fail,"empty imperativ on non-modal verb"
1201,"C1","utstå",,fail,"empty imperativ on non-modal verb"
1202,"C1","bädda",1,fail,"empty imperativ on non-modal verb"
1203,"C1","grilla",1,fail,"empty imperativ on non-modal verb"
1204,"C1","slappna",1,fail,"empty imperativ on non-modal verb"
1205,"C1","tippa",1,fail,"empty imperativ on non-modal verb"
1206,"C1","precisera",1,fail,"empty imperativ on non-modal verb"
1207,"C1","skoja",1,fail,"empty imperativ on non-modal verb"
1208,"C1","framhäva",2a,fail,"empty imperativ on non-modal verb"
1209,"C1","strypa",2b,fail,"empty imperativ on non-modal verb"
1210,"C1","författa",1,fail,"empty imperativ on non-modal verb"
1211,"C1","bifoga",1,fail,"empty imperativ on non-modal verb"
1212,"C1","parkera",1,fail,"empty imperativ on non-modal verb"
1213,"C1","uträtta",1,fail,"empty imperativ on non-modal verb"
1214,"C1","belasta",1,fail,"empty imperativ on non-modal verb"
1215,"C1","fascinera",1,fail,"empty imperativ on non-modal verb"
1216,"C1","gagna",1,fail,"empty imperativ on non-modal verb"
1217,"C1","modifiera",1,fail,"empty imperativ on non-modal verb"
1218,"C1","realisera",1,fail,"empty imperativ on non-modal verb"
1219,"C1","skymta",1,fail,"empty imperativ on non-modal verb"
1220,"C1","avlägga",,fail,"empty imperativ on non-modal verb"
1221,"C1","föreläsa",2b,fail,"empty imperativ on non-modal verb"
1222,"C1","klassificera",1,fail,"empty imperativ on non-modal verb"
1223,"C1","spruta",1,fail,"empty imperativ on non-modal verb"
1224,"C1","spärra",1,fail,"empty imperativ on non-modal verb"
1225,"C1","blomstra",1,fail,"empty imperativ on non-modal verb"
1226,"C1","behaga",1,fail,"empty imperativ on non-modal verb"
1227,"C1","drunkna",1,fail,"empty imperativ on non-modal verb"
1228,"C1","steka",2b,fail,"empty imperativ on non-modal verb"
1229,"C1","bedra",,fail,"empty imperativ on non-modal verb"
1230,"C1","läka",2b,fail,"empty imperativ on non-modal verb"
1231,"C1","tillbe",,fail,"empty imperativ on non-modal verb"
1232,"C1","bubbla",1,fail,"empty imperativ on non-modal verb"
1233,"C1","kväva",2a,fail,"empty imperativ on non-modal verb"
1234,"C1","motstå",,fail,"empty imperativ on non-modal verb"
1235,"C1","irritera",1,fail,"empty imperativ on non-modal verb"
1236,"C1","pendla",1,fail,"empty imperativ on non-modal verb"
1237,"C1","trakassera",1,fail,"empty imperativ on non-modal verb"
1238,"C1","ratificera",1,fail,"empty imperativ on non-modal verb"
1239,"C1","kyssa",2b,fail,"empty imperativ on non-modal verb"
1240,"C1","avbilda",1,fail,"empty imperativ on non-modal verb"
1241,"C1","tystna",1,fail,"empty imperativ on non-modal verb"
1242,"C1","kriga",1,fail,"empty imperativ on non-modal verb"
1243,"C1","omkomma",,fail,"empty imperativ on non-modal verb"
1244,"C1","försumma",1,fail,"empty imperativ on non-modal verb"
1245,"C1","tillfoga",1,fail,"empty imperativ on non-modal verb"
1246,"C1","cirkulera",1,fail,"empty imperativ on non-modal verb"
1247,"C1","modernisera",1,fail,"empty imperativ on non-modal verb"
1248,"C1","diktera",1,fail,"empty imperativ on non-modal verb"
1249,"C1","knäppa",2b,fail,"empty imperativ on non-modal verb"
1250,"C1","studsa",1,fail,"empty imperativ on non-modal verb"
1251,"C1","befordra",1,fail,"empty imperativ on non-modal verb"
1252,"C1","intyga",1,fail,"empty imperativ on non-modal verb"
1253,"C1","vinka",1,fail,"empty imperativ on non-modal verb"
1254,"C1","dumpa",1,fail,"empty imperativ on non-modal verb"
1255,"C1","kollapsa",1,fail,"empty imperativ on non-modal verb"
1256,"C1","borra",1,fail,"empty imperativ on non-modal verb"
1257,"C1","festa",1,fail,"empty imperativ on non-modal verb"
1258,"C1","signera",1,fail,"empty imperativ on non-modal verb"
1259,"C1","experimentera",1,fail,"empty imperativ on non-modal verb"
1260,"C1","anvisa",1,fail,"empty imperativ on non-modal verb"
1261,"C1","återvinna",,fail,"empty imperativ on non-modal verb"
1262,"C1","frakta",1,fail,"empty imperativ on non-modal verb"
1263,"C1","anslå",,fail,"empty imperativ on non-modal verb"
1264,"C1","anknyta",,fail,"empty imperativ on non-modal verb"
1265,"C1","avskeda",1,fail,"empty imperativ on non-modal verb"
1266,"C1","förkorta",1,fail,"empty imperativ on non-modal verb"
1267,"C1","påträffa",1,fail,"empty imperativ on non-modal verb"
1268,"C1","disponera",1,fail,"empty imperativ on non-modal verb"
1269,"C1","knuffa",1,fail,"empty imperativ on non-modal verb"
1270,"C1","uthärda",1,fail,"empty imperativ on non-modal verb"
1271,"C1","privatisera",1,fail,"empty imperativ on non-modal verb"
1272,"C1","undkomma",,fail,"empty imperativ on non-modal verb"
1273,"C1","blinka",1,fail,"empty imperativ on non-modal verb"
1274,"C1","avlösa",2b,fail,"empty imperativ on non-modal verb"
1275,"C1","betvivla",1,fail,"empty imperativ on non-modal verb"
1276,"C1","spinna",,fail,"empty imperativ on non-modal verb"
1277,"C1","proklamera",1,fail,"empty imperativ on non-modal verb"
1278,"C1","utelämna",1,fail,"empty imperativ on non-modal verb"
1279,"C1","exponera",1,fail,"empty imperativ on non-modal verb"
1280,"C1","tillägna",1,fail,"empty imperativ on non-modal verb"
1281,"C1","vidarebefordra",1,fail,"empty imperativ on non-modal verb"
1282,"C1","frånta",,fail,"empty imperativ on non-modal verb"
1283,"C1","lagstifta",1,fail,"empty imperativ on non-modal verb"
1284,"C1","stråla",1,fail,"empty imperativ on non-modal verb"
1285,"C1","utvinna",,fail,"empty imperativ on non-modal verb"
1286,"C1","samtycka",2b,fail,"empty imperativ on non-modal verb"
1287,"C1","underkänna",,fail,"empty imperativ on non-modal verb"
1288,"C1","utrusta",1,fail,"empty imperativ on non-modal verb"
1289,"C1","förflyta",,fail,"empty imperativ on non-modal verb"
1290,"C1","färdigställa",2a,fail,"empty imperativ on non-modal verb"
1291,"C1","applådera",1,fail,"empty imperativ on non-modal verb"
1292,"C1","avancera",1,fail,"empty imperativ on non-modal verb"
1293,"C1","skingra",1,fail,"empty imperativ on non-modal verb"
1294,"C1","underordna",1,fail,"empty imperativ on non-modal verb"
1295,"C1","krocka",1,fail,"empty imperativ on non-modal verb"
1296,"C1","spola",1,fail,"empty imperativ on non-modal verb"
1297,"C1","blöda",,fail,"empty imperativ on non-modal verb"
1298,"C1","kryssa",1,fail,"empty imperativ on non-modal verb"
1299,"C1","råna",1,fail,"empty imperativ on non-modal verb"
1300,"C1","anförtro",,fail,"charset: presens=""anförtro(r)"""
1301,"C1","filtrera",1,fail,"empty imperativ on non-modal verb"
1302,"C1","subventionera",1,fail,"empty imperativ on non-modal verb"
1303,"C1","stressa",1,fail,"empty imperativ on non-modal verb"
1304,"C1","omfamna",1,fail,"empty imperativ on non-modal verb"
1305,"C1","absorbera",1,fail,"empty imperativ on non-modal verb"
1306,"C1","specificera",1,fail,"empty imperativ on non-modal verb"
1307,"C1","klia",1,fail,"empty imperativ on non-modal verb"
1308,"C1","tillgripa",,fail,"empty imperativ on non-modal verb"
1309,"C1","utdela",1,fail,"empty imperativ on non-modal verb"
1310,"C1","kvalificera",1,fail,"empty imperativ on non-modal verb"
1311,"C1","slicka",1,fail,"empty imperativ on non-modal verb"
1312,"C1","specialisera",1,fail,"empty imperativ on non-modal verb"
1313,"C1","motbevisa",1,fail,"empty imperativ on non-modal verb"
1314,"C1","kräkas",deponens,fail,"empty imperativ on non-modal verb"
1315,"C1","lokalisera",1,fail,"empty imperativ on non-modal verb"
1316,"C1","sammankalla",1,fail,"empty imperativ on non-modal verb"
1317,"C1","fantisera",1,fail,"empty imperativ on non-modal verb"
1318,"C1","förolämpa",1,fail,"empty imperativ on non-modal verb"
1319,"C1","utbetala",1,fail,"empty imperativ on non-modal verb"
1320,"C1","lossna",1,fail,"empty imperativ on non-modal verb"
1321,"C1","borsta",1,fail,"empty imperativ on non-modal verb"
1322,"C1","avtala",1,fail,"empty imperativ on non-modal verb"
1323,"C1","delegera",1,fail,"empty imperativ on non-modal verb"
1324,"C1","raka",1,fail,"empty imperativ on non-modal verb"
1325,"C1","svida",,fail,"empty imperativ on non-modal verb"
1326,"C1","mala",,fail,"empty imperativ on non-modal verb"
1327,"C1","hurra",1,fail,"empty imperativ on non-modal verb"
1328,"C1","spilla",2a,fail,"empty imperativ on non-modal verb"
1329,"C1","pryda",,fail,"empty imperativ on non-modal verb"
1330,"C1","karakterisera",1,fail,"empty imperativ on non-modal verb"
1331,"C1","komponera",1,fail,"empty imperativ on non-modal verb"
1332,"C1","betjäna",1,fail,"empty imperativ on non-modal verb"
1333,"C1","förhöra",,fail,"empty imperativ on non-modal verb"
1334,"C1","tillmäta",2b,fail,"empty imperativ on non-modal verb"
1335,"C1","bredda",1,fail,"empty imperativ on non-modal verb"
1336,"C1","generalisera",1,fail,"empty imperativ on non-modal verb"
1337,"C1","grubbla",1,fail,"empty imperativ on non-modal verb"
1338,"C1","strukturera",1,fail,"empty imperativ on non-modal verb"
1339,"C1","hosta",1,fail,"empty imperativ on non-modal verb"
1340,"C1","rättfärdiga",1,fail,"empty imperativ on non-modal verb"
1341,"C1","navigera",1,fail,"empty imperativ on non-modal verb"
1342,"C1","darra",1,fail,"empty imperativ on non-modal verb"
1343,"C1","bebo",3,fail,"empty imperativ on non-modal verb"
1344,"C1","instifta",1,fail,"empty imperativ on non-modal verb"
1345,"C1","inrymma",,fail,"empty imperativ on non-modal verb"
1346,"C1","knipa",,fail,"empty imperativ on non-modal verb"
1347,"C1","sammanföra",,fail,"empty imperativ on non-modal verb"
1348,"C1","vilseleda",,fail,"empty imperativ on non-modal verb"
1349,"C1","försena",1,fail,"empty imperativ on non-modal verb"
1350,"C2","eskalera",1,fail,"empty imperativ on non-modal verb"
1351,"C2","avvärja",2a,fail,"empty imperativ on non-modal verb"
1352,"C2","härma",1,fail,"empty imperativ on non-modal verb"
1353,"C2","repetera",1,fail,"empty imperativ on non-modal verb"
1354,"C2","susa",1,fail,"empty imperativ on non-modal verb"
1355,"C2","kulminera",1,fail,"empty imperativ on non-modal verb"
1356,"C2","avskilja",,fail,"empty imperativ on non-modal verb"
1357,"C2","värdesätta",,fail,"empty imperativ on non-modal verb"
1358,"C2","accelerera",1,fail,"empty imperativ on non-modal verb"
1359,"C2","frige",,fail,"empty imperativ on non-modal verb"
1360,"C2","addera",1,fail,"empty imperativ on non-modal verb"
1361,"C2","beskydda",1,fail,"empty imperativ on non-modal verb"
1362,"C2","blotta",1,fail,"empty imperativ on non-modal verb"
1363,"C2","interagera",1,fail,"empty imperativ on non-modal verb"
1364,"C2","rotera",1,fail,"empty imperativ on non-modal verb"
1365,"C2","inspektera",1,fail,"empty imperativ on non-modal verb"
1366,"C2","orientera",1,fail,"empty imperativ on non-modal verb"
1367,"C2","smeka",2b,fail,"empty imperativ on non-modal verb"
1368,"C2","sammanträda",,fail,"empty imperativ on non-modal verb"
1369,"C2","förplikta",1,fail,"empty imperativ on non-modal verb"
1370,"C2","häkta",1,fail,"empty imperativ on non-modal verb"
1371,"C2","omringa",1,fail,"empty imperativ on non-modal verb"
1372,"C2","ödelägga",,fail,"empty imperativ on non-modal verb"
1373,"C2","besvära",1,fail,"empty imperativ on non-modal verb"
1374,"C2","uppdra",,fail,"empty imperativ on non-modal verb"
1375,"C2","gunga",1,fail,"empty imperativ on non-modal verb"
1376,"C2","vattna",1,fail,"empty imperativ on non-modal verb"
1377,"C2","besätta",,fail,"empty imperativ on non-modal verb"
1378,"C2","återlämna",1,fail,"empty imperativ on non-modal verb"
1379,"C2","sjösätta",,fail,"empty imperativ on non-modal verb"
1380,"C2","komplicera",1,fail,"empty imperativ on non-modal verb"
1381,"C2","putsa",1,fail,"empty imperativ on non-modal verb"
1382,"C2","bemästra",1,fail,"empty imperativ on non-modal verb"
1383,"C2","stapla",1,fail,"empty imperativ on non-modal verb"
1384,"C2","berättiga",1,fail,"empty imperativ on non-modal verb"
1385,"C2","förråda",,fail,"empty imperativ on non-modal verb"
1386,"C2","lossa",1,fail,"empty imperativ on non-modal verb"
1387,"C2","dofta",1,fail,"empty imperativ on non-modal verb"
